"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"1167",14.1307206504,14.148560678,3100,0,14148.560678,0,8.14266689984,4.56405183163,1.38987957415e-05,1.38987957415e-05,348,228,"rn"
"1172",4.77041717306,4.82679203223,1922,360,4774.10120893,52.6908232989,3.93736630311,2.48392362587,2.72932104838e-05,2.5406583031e-05,53,26,"rn"
"1184",13.4788374662,15.0389494578,15772,4164,14558.0545284,478.283671554,1.63757791327,0.923031608445,7.63441211145e-05,7.48306374739e-05,32.7,0,"rn"
"1185",4.81829915955,4.92243591328,1771,0,4922.43591328,0,3.63512402759,2.77946691885,4.93327608205e-05,5.04534882435e-05,67,-1.4,"rn"
"1186",6.23871665245,6.27597118592,2363,0,6275.97118592,0,3.14276822032,2.65593363772,1.26997272699e-05,1.98005466319e-05,797.5,730.9,"rn"
"1189",6.94632002769,6.9497274013,2046,0,6949.7274013,0,4.352130318,3.39673871031,1.0432862251e-05,1.15269667508e-05,235.9,200.6,"rn"
"1212",6.9725609711,6.97407244651,2251,0,6974.07244651,0,3.46605731143,3.09821077144,7.30291211666e-06,4.59228684162e-06,222.6,201.8,"rn"
"1215",5.55311182746,5.55949334142,1830,31,5558.79334142,0.7,5.44903821278,3.03759198985,9.59642118794e-06,9.74048455725e-06,76.7,60,"rn"
"1219",11.3153497756,11.8275310474,4986,215,11801.7009978,25.8300495337,4.08332846921,2.36696770915,7.63034300415e-05,7.71871853119e-05,927,556,"rn"
"1232",6.21067443483,6.29341641067,2370,0,6293.41641067,0,3.80746614068,2.65544996231,3.74516491632e-05,3.58415180728e-05,890,826,"rn"
"1257",9.47174836293,9.7145869448,3788,169,9688.10105563,26.4858891646,3.17377150474,2.55757683623,4.77525355055e-05,4.78581126346e-05,495,438,"rn"
"1269",7.10117116845,7.1216228369,2521,231,7107.2276663,14.3951706089,4.97551684805,2.819209705,1.61212844029e-05,1.57410654311e-05,222.1,207.3,"rn"
